ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,48.7,2.3,117,46.3
NY-003,Allegany County,New York,46.7,1.9,115,44.8
NY-005,Bronx County,New York,55.9,3.2,120,52.6
NY-007,Broome County,New York,47.9,2.2,115,45.7
NY-009,Cattaraugus County,New York,46.7,2,114,44.7
NY-011,Cayuga County,New York,48.4,2.3,118,46.1
NY-013,Chautauqua County,New York,47.9,2,114,45.9
NY-015,Chemung County,New York,47.7,1.8,111,45.9
NY-017,Chenango County,New York,46.7,2.3,118,44.4
NY-019,Clinton County,New York,44.5,2.8,118,41.8
NY-021,Columbia County,New York,49.8,2.7,120,47.1
NY-023,Cortland County,New York,46.4,2.2,116,44.2
NY-025,Delaware County,New York,46.5,2.7,123,43.8
NY-027,Dutchess County,New York,50.5,2.7,118,47.8
NY-029,Erie County,New York,48.4,2.2,115,46.2
NY-031,Essex County,New York,43.6,3.2,124,40.4
NY-033,Franklin County,New York,43.7,3.4,122,40.3
NY-035,Fulton County,New York,46.2,2.5,120,43.7
NY-037,Genesee County,New York,48.5,2.5,116,46
NY-039,Greene County,New York,47.7,2.7,118,45
NY-041,Hamilton County,New York,42.9,3.1,124,39.8
NY-043,Herkimer County,New York,44.5,2.8,121,41.8
NY-045,Jefferson County,New York,46.4,2.8,119,43.6
NY-047,Kings County,New York,56.4,3.4,122,53
NY-049,Lewis County,New York,44.1,2.8,120,41.3
NY-051,Livingston County,New York,48.6,2.3,115,46.3
NY-053,Madison County,New York,46.5,2.3,115,44.1
NY-055,Monroe County,New York,49.4,2.5,116,46.9
NY-057,Montgomery County,New York,48.1,2.2,115,45.9
NY-059,Nassau County,New York,55.2,3.3,120,51.9
NY-061,New York County,New York,56.2,3.3,120,52.9
NY-063,Niagara County,New York,49.4,2.4,115,47
NY-065,Oneida County,New York,46.5,2.5,116,44
NY-067,Onondaga County,New York,48,2.3,113,45.7
NY-069,Ontario County,New York,48.7,2.4,116,46.3
NY-071,Orange County,New York,50.7,2.8,118,47.9
NY-073,Orleans County,New York,49,2.4,114,46.6
NY-075,Oswego County,New York,47.4,2.5,115,44.9
NY-077,Otsego County,New York,46.2,2.2,117,44
NY-079,Putnam County,New York,51.1,2.8,119,48.3
NY-081,Queens County,New York,55.9,3.2,119,52.7
NY-083,Rensselaer County,New York,48.3,2.6,117,45.7
NY-085,Richmond County,New York,56.4,3.6,123,52.8
NY-087,Rockland County,New York,52.8,3,120,49.7
NY-089,St. Lawrence County,New York,45.5,3.6,122,41.8
NY-091,Saratoga County,New York,47.4,2.5,118,44.9
NY-093,Schenectady County,New York,48.3,2.3,116,45.9
NY-095,Schoharie County,New York,46.7,2.2,116,44.5
NY-097,Schuyler County,New York,47.5,2,113,45.5
NY-099,Seneca County,New York,49.3,2.3,117,47
NY-101,Steuben County,New York,47,1.9,110,45.2
NY-103,Suffolk County,New York,53.7,3.4,121,50.3
NY-105,Sullivan County,New York,48,2.8,118,45.2
NY-107,Tioga County,New York,47.9,2.1,115,45.8
NY-109,Tompkins County,New York,47.7,2.2,114,45.6
NY-111,Ulster County,New York,48.9,2.8,119,46
NY-113,Warren County,New York,45.1,2.8,120,42.3
NY-115,Washington County,New York,47.3,2.8,118,44.5
NY-117,Wayne County,New York,49.1,2.5,116,46.7
NY-119,Westchester County,New York,53.1,3.1,119,50
NY-121,Wyoming County,New York,46.9,2.2,115,44.7
NY-123,Yates County,New York,48.4,2.2,114,46.2
